File Path,Type of SNR,Type of Machine,Model Number,Status,File Name
datasets/6_dB_valve/valve/id_00/abnormal/00000000.wav,6_dB_valve,valve,id_00,abnormal,00000000.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000001.wav,6_dB_valve,valve,id_00,abnormal,00000001.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000002.wav,6_dB_valve,valve,id_00,abnormal,00000002.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000003.wav,6_dB_valve,valve,id_00,abnormal,00000003.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000004.wav,6_dB_valve,valve,id_00,abnormal,00000004.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000005.wav,6_dB_valve,valve,id_00,abnormal,00000005.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000006.wav,6_dB_valve,valve,id_00,abnormal,00000006.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000007.wav,6_dB_valve,valve,id_00,abnormal,00000007.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000008.wav,6_dB_valve,valve,id_00,abnormal,00000008.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000009.wav,6_dB_valve,valve,id_00,abnormal,00000009.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000010.wav,6_dB_valve,valve,id_00,abnormal,00000010.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000011.wav,6_dB_valve,valve,id_00,abnormal,00000011.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000012.wav,6_dB_valve,valve,id_00,abnormal,00000012.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000013.wav,6_dB_valve,valve,id_00,abnormal,00000013.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000014.wav,6_dB_valve,valve,id_00,abnormal,00000014.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000015.wav,6_dB_valve,valve,id_00,abnormal,00000015.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000016.wav,6_dB_valve,valve,id_00,abnormal,00000016.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000017.wav,6_dB_valve,valve,id_00,abnormal,00000017.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000018.wav,6_dB_valve,valve,id_00,abnormal,00000018.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000019.wav,6_dB_valve,valve,id_00,abnormal,00000019.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000020.wav,6_dB_valve,valve,id_00,abnormal,00000020.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000021.wav,6_dB_valve,valve,id_00,abnormal,00000021.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000022.wav,6_dB_valve,valve,id_00,abnormal,00000022.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000023.wav,6_dB_valve,valve,id_00,abnormal,00000023.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000024.wav,6_dB_valve,valve,id_00,abnormal,00000024.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000025.wav,6_dB_valve,valve,id_00,abnormal,00000025.wav
datasets/6_dB_valve/valve/id_00/abnormal/00000026.wav,6_dB_valve,valve,id_00,abnormal,00000026.wav
